Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,47.320000,50.009998,46.240002,46.689999,36.801537,23255700
2011-02-01,46.790001,52.529999,46.790001,52.320000,41.239166,31242100
2011-03-01,52.439999,55.049999,52.119999,54.349998,43.128597,29770700
2011-04-01,54.459999,58.200001,54.139999,57.709999,45.794884,24047900
2011-05-01,57.709999,57.980000,53.770000,55.730000,44.223682,29677800
2011-06-01,55.750000,57.259998,53.799999,56.849998,45.391399,23868500
2011-07-01,57.020000,59.450001,56.029999,56.439999,45.064030,24764200
2011-08-01,56.840000,58.910000,53.830002,58.650002,46.828579,41339000
2011-09-01,58.790001,60.959999,55.779999,59.240002,47.591560,26028700
2011-10-01,59.029999,60.900002,56.400002,57.230000,45.976780,28792800
2011-11-01,56.389999,58.880001,55.320000,57.680000,46.338291,29606300
2011-12-01,57.680000,62.259998,57.500000,61.779999,49.938293,21230100
2012-01-01,62.099998,62.380001,60.520000,61.080002,49.372467,18827500
2012-02-01,61.000000,61.919998,59.320000,60.700001,49.065300,32466200
2012-03-01,60.770000,61.599998,59.430000,61.330002,49.886951,21086800
2012-04-01,61.330002,67.129997,59.509998,67.010002,54.507172,31096200
2012-05-01,67.000000,69.459999,66.510002,66.860001,54.385155,29965300
2012-06-01,66.110001,72.029999,65.430000,72.029999,58.920269,28825500
2012-07-01,71.970001,72.970001,70.059998,71.739998,58.683060,19194900
2012-08-01,72.000000,73.160004,70.720001,71.820000,58.748501,20263800
2012-09-01,71.970001,73.419998,69.849998,70.889999,58.293434,15129600
2012-10-01,71.029999,72.000000,68.089996,68.849998,56.615929,17534500
2012-11-01,68.879997,73.290001,68.230003,73.269997,60.250504,18910400
2012-12-01,73.279999,74.709999,70.949997,72.220001,59.732639,15475800
2013-01-01,72.860001,79.959999,72.540001,79.449997,65.712540,22579200
2013-02-01,80.000000,83.669998,78.449997,83.339996,68.929932,23439000
2013-03-01,83.000000,87.620003,82.570000,87.529999,72.773476,18791200
2013-04-01,87.349998,91.989998,84.839996,89.160004,74.128677,26464900
2013-05-01,88.919998,91.300003,87.320000,89.110001,74.087135,25154700
2013-06-01,89.010002,90.120003,85.139999,89.279999,74.582619,24255500
2013-07-01,89.419998,95.419998,88.750000,94.870003,79.252373,18751900
2013-08-01,95.480003,98.000000,90.239998,91.949997,76.813087,16449400
2013-09-01,92.779999,94.320000,89.279999,92.500000,77.667999,13591400
2013-10-01,92.269997,101.370003,90.550003,99.239998,83.327255,15962900
2013-11-01,99.349998,99.989998,94.510002,96.889999,81.354088,13291100
2013-12-01,96.739998,97.849998,93.150002,97.230003,82.058617,12066000
2014-01-01,97.180000,99.980003,95.180000,99.400002,83.890022,20000600
2014-02-01,98.970001,108.690002,97.660004,105.820000,89.308289,27067600
2014-03-01,105.309998,107.540001,102.510002,104.400002,88.508430,19169300
2014-04-01,103.750000,104.680000,95.110001,96.239998,81.590485,27125200
2014-05-01,96.029999,98.290001,95.339996,97.339996,82.523041,21888500
2014-06-01,97.330002,100.160004,95.930000,97.370003,82.961395,18775400
2014-07-01,97.739998,97.739998,88.099998,88.150002,75.105766,29009200
2014-08-01,88.400002,92.720001,87.879997,91.419998,77.891846,23244700
2014-09-01,91.410004,95.650002,89.629997,95.430000,81.784271,23531000
2014-10-01,95.070000,96.000000,89.669998,95.910004,82.195618,25586900
2014-11-01,96.000000,100.449997,94.949997,100.279999,85.940742,19332200
2014-12-01,100.239998,107.000000,97.699997,103.930000,89.571754,21040600
2015-01-01,104.330002,111.349998,98.730003,102.209999,88.089355,31637000
2015-02-01,102.000000,107.570000,101.559998,103.779999,89.442444,23033600
2015-03-01,103.779999,104.199997,98.269997,100.910004,87.405022,21117800
2015-04-01,100.139999,102.559998,91.129997,91.919998,79.618149,29840300
2015-05-01,92.309998,96.400002,92.309998,92.860001,80.432358,20979100
2015-06-01,92.919998,93.230003,87.790001,88.830002,77.377090,29230400
2015-07-01,89.209999,93.339996,88.250000,92.889999,80.913628,18834800
2015-08-01,92.879997,93.699997,82.410004,89.519997,77.978127,28942200
2015-09-01,88.239998,94.419998,86.669998,91.879997,80.546547,22186900
2015-10-01,92.279999,97.400002,87.059998,88.690002,77.750046,27574100
2015-11-01,88.870003,89.199997,83.040001,86.309998,75.663597,27917900
2015-12-01,86.349998,92.000000,84.000000,89.269997,78.801590,26153500
2016-01-01,88.160004,88.879997,82.419998,88.110001,77.777634,31690700
2016-02-01,88.190002,92.470001,87.379997,90.889999,80.231621,27417100
2016-03-01,91.709999,93.790001,89.250000,92.089996,81.818848,21626000
2016-04-01,91.889999,94.930000,87.919998,93.110001,82.725098,29304200
2016-05-01,93.080002,94.540001,89.169998,92.849998,82.494080,24795000
2016-06-01,93.019997,117.790001,92.000000,113.489998,101.483841,49850400
2016-07-01,112.099998,114.589996,107.830002,110.760002,99.042648,37796800
2016-08-01,109.160004,114.160004,98.750000,99.889999,89.322586,34302000
2016-09-01,100.059998,100.449997,94.449997,95.599998,85.952843,29140800
2016-10-01,95.300003,103.360001,94.029999,102.459999,92.120583,26675000
2016-11-01,102.599998,102.949997,96.260002,96.639999,86.887878,27991400
2016-12-01,96.500000,105.269997,95.680000,103.430000,93.579475,18788000
2017-01-01,103.839996,107.250000,103.010002,105.470001,95.425179,18673300
2017-02-01,105.290001,109.580002,101.610001,108.349998,98.030884,24408000
2017-03-01,108.599998,109.900002,107.120003,109.250000,99.411522,22700300
2017-04-01,108.930000,110.000000,106.510002,108.199997,98.456085,17329000
2017-05-01,108.000000,116.489998,106.000000,115.269997,104.889381,24131700
2017-06-01,115.589996,116.019997,106.050003,107.370003,98.239189,23249700
2017-07-01,107.050003,108.099998,103.769997,105.309998,96.354385,20304400
2017-08-01,105.510002,109.339996,103.879997,104.919998,95.997536,23627400
2017-09-01,105.379997,110.690002,104.199997,109.169998,100.497894,21542800
2017-10-01,109.199997,110.989998,102.519997,106.180000,97.745422,22283800
2017-11-01,106.570000,111.889999,104.089996,110.930000,102.118095,20050400
2017-12-01,111.040001,115.820000,108.980003,113.510002,105.119476,16043700
2018-01-01,113.480003,114.629997,107.250000,110.330002,102.174553,19562800
2018-02-01,105.449997,106.250000,95.209999,98.260002,90.996735,30536000
